target_ticker,most_similar,most_similar_corr,most_dissimilar,most_dissimilar_corr
006800.KS,"['071050.KS', '039490.KS', '016360.KS', '005940.KS', '086790.KS']","[0.8294215820325654, 0.7437778919813337, 0.7435309234495195, 0.7433674404474576, 0.6778983335742199]","['042660.KS', '373220.KS', '018880.KS', '051910.KS', '267270.KS']","[-0.16693748903998062, -0.035528306576874, -0.027428537332432633, -0.017906477567779702, 0.012330153287998236]"
007070.KS,"['030000.KS', '000080.KS', '300720.KS', '282330.KS', '016360.KS']","[0.6132811515561082, 0.5189906739160247, 0.4844464371356372, 0.46262658008065105, 0.4435603039162084]","['329180.KS', '042660.KS', '267260.KS', '007660.KS', '082740.KS']","[-0.22321629604581764, -0.214667235171095, -0.17319792232369371, -0.16618852687595248, -0.16136475275563494]"
007310.KS,"['004370.KS', '280360.KS', '097950.KS', '271560.KS', '011210.KS']","[0.6910729982810434, 0.6554524835300877, 0.6478690972268547, 0.637565260650055, 0.5792304760332294]","['000150.KS', '009420.KS', '012450.KS', '010130.KS', '298040.KS']","[-0.15301594350579248, -0.13512319313517443, -0.11810990253991649, -0.10842500532944833, -0.10568655133635041]"
007340.KS,"['010060.KS', '011780.KS', '034730.KS', '139130.KS', '004990.KS']","[0.40476946224422705, 0.3869322725861726, 0.3795892897936466, 0.37473407635994416, 0.3705698902734225]","['352820.KS', '010130.KS', '051600.KS', '300720.KS', '000150.KS']","[-0.28712062517705206, -0.2230753458006548, -0.14306469095045735, -0.12706562650849015, -0.11080498712333067]"
007660.KS,"['241560.KS', '103590.KS', '006260.KS', '000150.KS', '402340.KS']","[0.5153101529133762, 0.48333471824275626, 0.39161936271212217, 0.361542751859879, 0.3527811529792921]","['137310.KS', '010140.KS', '026960.KS', '007070.KS', '035420.KS']","[-0.27595500484166874, -0.2217974596455584, -0.18868776472665666, -0.16618852687595248, -0.15928937669171894]"
008770.KS,"['069960.KS', '004170.KS', '028670.KS', '034230.KS', '383220.KS']","[0.6025481551941915, 0.5513879269252802, 0.5228037950963876, 0.501939265236472, 0.5007411226538065]","['042660.KS', '329180.KS', '010130.KS', '272210.KS', '443060.KS']","[-0.39140729937518154, -0.33811874327970665, -0.17558619629199673, -0.1457152416448264, -0.1216170328767512]"
008930.KS,"['071050.KS', '128940.KS', '402340.KS', '009970.KS', '316140.KS']","[0.5244204502105613, 0.48560266980231476, 0.4824275889429714, 0.4746551912396725, 0.46030921211162573]","['089860.KS', '139480.KS', '267270.KS', '271560.KS', '097950.KS']","[-0.12127056082130387, -0.11158671645165875, -0.06511608554423057, -0.041513752162367384, -0.03688905234678211]"
009150.KS,"['011070.KS', '005930.KS', '302440.KS', '000990.KS', '005385.KS']","[0.6232125594370103, 0.5487717638552745, 0.5371835106402837, 0.5358312420473416, 0.4870238516583243]","['010130.KS', '030200.KS', '047810.KS', '029780.KS', '032640.KS']","[-0.17745111328834445, -0.17383171961556182, -0.14964039539714807, -0.14698435687166633, -0.13192226126466688]"
009420.KS,"['000100.KS', '326030.KS', '128940.KS', '069620.KS', '006280.KS']","[0.5948473625583267, 0.5724162702659052, 0.4695206493328281, 0.4523695953103123, 0.404689489488056]","['097950.KS', '032640.KS', '192820.KS', '081660.KS', '139480.KS']","[-0.26208037204939755, -0.2453267174242511, -0.20063642161109946, -0.16952410922191163, -0.16069583148920497]"
009450.KS,"['082740.KS', '267270.KS', '009540.KS', '000150.KS', '071970.KS']","[0.4311958729335957, 0.3769140831870018, 0.30145938199501443, 0.2968001852966972, 0.2920215059767376]","['089860.KS', '259960.KS', '280360.KS', '251270.KS', '029780.KS']","[-0.2889107758831558, -0.27101947213389743, -0.2561446974068586, -0.23198738494527246, -0.22452302930345802]"
